"key"	"de-DE"	"en-US"	"es-ES"	"fr-FR"	"it-IT"	"ja-JP"	"ko-KR"	"pl-PL"	"pt-BR"	"ru-RU"	"zh-HANS"	"zh-HANT"	""
"Options.SECTION[Anarchy.Anarchy.AnarchyMod]"	"Anarchy"	"Anarchy"	"Anarchy"	"Anarchy"	"Anarchy"	"Anarchy"	"Anarchy"	"Anarchy"	"Anarchy"	"Anarchy"	"Anarchy"	"無碰撞"	""
"Options.OPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.AnarchicBulldozer]"	"Anarchy immer bei Verwendung des Bulldozer Werkzeugs aktivieren"	"Always enable Anarchy with Bulldoze Tool"	"Siempre activar ""Anarchy"" con la herramienta de Demoler"	"Toujours activer Anarchy avec l'outil bulldozer"	"Abilita sempre Anarchy con lo Strumento Demolizione"	"Always enable Anarchy with Bulldoze Tool"	"불도즈 도구로 항상 난장판 상태로 활성화"	"Zawsze aktywuj Anarchię z narzędziem Buldożera"	"Sempre ative a Anarquia com Ferramenta de Buldôzer"	"Always enable Anarchy with Bulldoze Tool"	"当使用推土机工具时，启用无碰撞功能。"	"Always enable Anarchy with Bulldoze Tool"	""
"Options.OPTION_DESCRIPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.AnarchicBulldozer]"	"Wenn diese Option aktiviert ist, wird das Bulldozer-Tool immer Anarchy verwenden."	"With this option enabled the Bulldoze Tool will always have anarchy enabled."	"Con esta opción activada, siempre se activará Anarchy al utilizar la herramienta de demolición."	"Avec cette option activée, l'outil bulldozer sera toujours lancé avec Anarchy activé."	"Con questa opzione, lo Strumento Demolizione avrà sempre Anarchy attivo."	"With this option enabled the Bulldoze Tool will always have anarchy enabled."	"이 옵션을 활성화하면 불도즈 도구는 항상 난장판 상태를 활성화합니다."	"Po włączeniu tej opcji, narzędzie Buldożera zawsze będzie korzystać z anarchii."	"Com esta opção a ferramenta Buldôzer sempre terá a Anarquia ativada."	"With this option enabled the Bulldoze Tool will always have anarchy enabled."	"启用此选项后，推土机工具将始终启用无碰撞功能。"	"With this option enabled the Bulldoze Tool will always have anarchy enabled."	""
"Options.OPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.FlamingChirper]"	"Flammender Chirper"	"Flaming Chirper"	"Chirper ardiente"	"Chirper ardent"	"Chirper Fiammeggiante"	"Flaming Chirper"	"플라밍 치퍼"	"Płonący Chirper"	"Chirper Flamejante"	"Flaming Chirper"	"燃烧的小啾啾"	"Flaming Chirper"	""
"Options.OPTION_DESCRIPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.FlamingChirper]"	"Wenn diese Option aktiviert ist, wird der Chirper bei Verwendung von Anarchy für entsprechende Werkzeuge brennen. Bild-Kredit: Bad Peanut."	"With this option enabled the Chirper will be on fire when Anarchy is active for appropriate tools. Image Credit: Bad Peanut."	"Con esta opción activada, Chirper estará ardiente cuando el mod esté es uso. Crédito de la imagen: Bad Peanut."	"Avec cette option activée, Chirper deviendra ardent quand Anarchy est actif pour les outils appropriés. Crédit image : Bad Peanut."	"Con questa opzione, il Chirper sarà in fiamme quando Anarchy è attivo per gli strumenti appropriati. Crediti immagine: Bad Peanut."	"With this option enabled the Chirper will be on fire when Anarchy is active for appropriate tools. Image Credit: Bad Peanut."	"이 옵션 활성화 시 적절한 도구 사용 시 Chirper 아이콘 불타오름 표시 - 이미지 출처: Bad Peanut"	"Gdy ta opcja jest włączona Chirper będzie płonął, kiedy Anarchia jest aktywna dla odpowiednich narzędzi. Źródło obrazu: Bad Peanut."	"Com esta opção o Chirper estará em chamas quando o mod Anarquia estiver ativo para ferramentas adequadas. Crédito de Imagem: Bad Peanut."	"With this option enabled the Chirper will be on fire when Anarchy is active for appropriate tools. Image Credit: Bad Peanut."	"启用此选项后，在放置或拆除物体时，右下角的小啾啾将会燃烧起来（作为一种提示与彩蛋）。 图片来源：Bad Peanut。"	"With this option enabled the Chirper will be on fire when Anarchy is active for appropriate tools. Image Credit: Bad Peanut."	""
"Options.OPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.ShowTooltip]"	"Werkzeuginformation anzeigen (Tooltip)"	"Show Tooltip"	"Mostrar información de la herramienta"	"Montrer les infobulles"	"Mostra Suggerimenti"	"Show Tooltip"	"도구 보여주기"	"Pokaż podpowiedź"	"Mostrar dicas"	"Show Tooltip"	"显示工具提示"	"Show Tooltip"	""
"Options.OPTION_DESCRIPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.ShowTooltip]"	"Wenn diese Option aktiviert ist, wird eine Werkzeuginformation mit Ⓐ angezeigt, wenn Anarchy für die geeigneten Werkzeuge aktiviert ist."	"With this option enabled a tooltip with Ⓐ will be shown when Anarchy is active for appropriate tools."	"Con esta opción activada, un tooltip con Ⓐ será mostrado cuando Anarchy esté en uso."	"Avec cette option activée, une infobulle avec Ⓐ sera montrée lorsque qu'Anarchy est actif pour les outils appropriés."	"Con questa opzione, un suggerimento con Ⓐ verrà mostrato quando Anarchy è attivo per gli strumenti appropriati."	"With this option enabled a tooltip with Ⓐ will be shown when Anarchy is active for appropriate tools."	"이 옵션을 활성화하면 적절한 도구를 사용하는 동안 Anarchy 기능이 활성화되었을 때 Ⓐ 심볼이 포함된 툴팁이 표시됩니다."	"Gdy ta opcja jest włączona, pojawi się podpowiedź Ⓐ, gdy Anarchia jest aktywna dla odpowiednich narzędzi."	"Com esta opção habilitada um botão com Ⓐ será exibido quando a Anarquia estiver ativa para as ferramentas apropriadas."	"With this option enabled a tooltip with Ⓐ will be shown when Anarchy is active for appropriate tools."	"启用此选项后，在放置或拆除物体时，鼠标指针上的信息提示栏会显示字符“Ⓐ”（以表示启用无碰撞功能）。"	"With this option enabled a tooltip with Ⓐ will be shown when Anarchy is active for appropriate tools."	""
"Options.OPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.ToolIcon]"	"Werkzeug-Symbol"	"Tool Icon"	"Icono de la herramienta"	"Icône de l'outil"	"Icona Strumento"	"Tool Icon"	"도구 아이콘"	"Ikona narzędzia"	"Ícone da ferramenta"	"Tool Icon"	"工具图标"	"Tool Icon"	""
"Options.OPTION_DESCRIPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.ToolIcon]"	"Wenn diese Option aktiviert ist, wird eine Symbolzeile mit einer einzigen Schaltfläche für Anarchy angezeigt, wenn entsprechende Werkzeuge verwendet werden."	"With this option enabled an icon row with a single button for Anarchy will show up when using appropriate tools."	"Con esta opción activada, el icono de apagado/encendido de Anarchy aparecerá cuando se usen herramientas pertinentes."	"Avec cette option activée, une ligne d'icône avec un seul bouton pour Anarchy sera visible lorsque vous utiliserez les outils appropriés."	"Con questa, una riga di icone con un pulsante singolo per Anarchy verrà visualizzata quando si utilizzano strumenti appropriati."	"With this option enabled an icon row with a single button for Anarchy will show up when using appropriate tools."	"이 옵션을 활성화하면 적절한 도구를 사용할 때 Anarchy 버튼이 하나만 있는 아이콘 행이 표시됩니다."	"Gdy ta opcja jest włączona, podczas korzystania z odpowiednich narzędzi, pojawi się rząd ikon z przyciskiem Anarchii."	"Com esta opção ativada uma linha de ícone com um único botão para a Anarquia aparecerá quando usar as ferramentas apropriadas."	"With this option enabled an icon row with a single button for Anarchy will show up when using appropriate tools."	"启用此选项后，在放置或拆除物体时，左下角将显示带有无碰撞功能（大写的字母 A）的图标。"	"With this option enabled an icon row with a single button for Anarchy will show up when using appropriate tools."	""
"Options.OPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.ResetModSettings]"	"Anarchy Einstellungen zurücksetzen"	"Reset Anarchy Settings"	"Restablecer todos los ajustes"	"Réinitialiser les paramètres d'Anarchy"	"Ripristina Impostazioni Anarchy"	"Reset Anarchy Settings"	"Anarchy 설정 초기화"	"Zresetuj ustawienia Anarchy"	"Redefinir Configurações de Anarquia"	"Reset Anarchy Settings"	"重置无碰撞模组的设置"	"Reset Anarchy Settings"	""
"Options.OPTION_DESCRIPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.ResetModSettings]"	"Nach Bestätigung wird dies die Einstellungen für die Anarchy Mod zurücksetzen."	"Upon confirmation this will reset the settings for Anarchy mod."	"Al confirmar se restablecerán todos los ajustes iniciales de Anarchy."	"Après confirmation, cela réinitialisera les paramètres du mod Anarchy."	"Dopo la conferma ripristinerà le impostazioni per la Anarchy mod."	"Upon confirmation this will reset the settings for Anarchy mod."	"확인 후 Anarchy 모드에 대한 설정이 재설정됩니다."	"Po potwierdzeniu spowoduje to zresetowanie ustawień moda Anarchy."	"Após a confirmação, isso irá redefinir as configurações do mod Anarquia."	"Upon confirmation this will reset the settings for Anarchy mod."	"确认后，将会重置无碰撞模组的设置。"	"Upon confirmation this will reset the settings for Anarchy mod."	""
"Options.WARNING[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.ResetModSettings]"	"Anarchy Einstellungen zurücksetzen?"	"Reset Anarchy Settings?"	"¿Restablecer todos los ajustes?"	"Réinitialiser les paramètres d'Anarchy ?"	"Ripristinare Le Impostazioni Anarchy?"	"Reset Anarchy Settings?"	"Anarchy 설정을 초기화 하시겠습니까?"	"Na pewno chcesz zresetować ustawienia Anarchy?"	"Redefinir Configurações de Anarquia?"	"Reset Anarchy Settings?"	"是否重置无碰撞模组的设置？"	"Reset Anarchy Settings?"	""
"Options.OPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.PreventAccidentalPropCulling]"	"Unbeabsichtigtes verschwinden von Requisiten vermeiden"	"Prevent Accidental Prop Culling"	"Prevenir la eliminación accidental de decoraciones"	"Empêcher la suppression accidentelle de Props"	"Previene La Rimozione Accidentale degli Elementi"	"Prevent Accidental Prop Culling"	"실수로 소품 삭제 방지"	"Zapobiegaj przypadkowemu ukrywaniu rekwizytów"	"Prevenir a eliminação acidental de Props"	"Prevent Accidental Prop Culling"	"防止摆件和植被意外消失"	"Prevent Accidental Prop Culling"	""
"Options.OPTION_DESCRIPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.PreventAccidentalPropCulling]"	"Dies löst regelmäßig eine grafische Aktualisierung der Requisiten aus, die mit Anarchy platziert wurden, um unbeabsichtigtes Verschwinden von Requisiten die auf anderen Requisiten platziert wurden zu verhindern. Dies wirkt sich auf die Leistung aus."	"This will routinely trigger a graphical refresh to props placed with Anarchy that have been culled to prevent accidental culling of props. This affects performance."	"Esto activará rutinariamente una actualización gráfica para las decoraciones colocadas con ""Anarchy"" que hayan sido eliminadas para prevenir la eliminación accidental de decoraciones. Esto afecta el rendimiento."	"Cela déclenchera régulièrement une actualisation graphique pour les props placés avec Anarchy qui ont été effacés afin d'éviter la suppression accidentelle des props. Cela affecte les performances."	"Attiverà una routine di aggiornamento grafico per gli elementi piazzati con Anarchy che sono stati rimossi per evitare l'eliminazione accidentale degli elementi. Influisce sulle prestazioni."	"This will routinely trigger a graphical refresh to props placed with Anarchy that have been culled to prevent accidental culling of props. This affects performance."	"Anarchy 플러그인으로 배치된 소품 중 일부가 실수로 삭제되는 것을 방지하기 위해 정기적으로 그래픽 갱신을 트리거합니다. 이 과정은 성능에 영향을 미칠 수 있습니다."	"Ta opcja spowoduje rutynowe odświeżenie graficzne rekwizytów umieszczonych za pomocą Anarchii, aby zapobiec przypadkowemu ukryciu rekwizytów umieszczonych na innych rekwizytach. Wpływa na wydajność."	"Isto irá disparar uma atualização gráfica rotineiramente para as Props colocadas com Anarquia, de modo a evitar a eliminação dos Props acidentalmente. Isso afeta o desempenho."	"This will routinely trigger a graphical refresh to props placed with Anarchy that have been culled to prevent accidental culling of props. This affects performance."	"此功能会定时刷新使用无碰撞功能放置的摆件和植被，以防止其意外消失。注意，此功能会影响性能（摆件与植被越多，性能影响越大）。"	"This will routinely trigger a graphical refresh to props placed with Anarchy that have been culled to prevent accidental culling of props. This affects performance."	""
"Options.OPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.PropRefreshFrequency]"	"Requisiten Aktualisierungsfrequenz"	"Prop Refresh Frequency"	"Frecuencia de actualización de decoraciones"	"Fréquence de rafraîchissement des props"	"Frequenza Di Aggiornamento Elementi"	"Prop Refresh Frequency"	"소품 새로 고침 빈도"	"Częstotliwość odświeżania rekwizytów"	"Frequência de atualização Prop"	"Prop Refresh Frequency"	"摆件刷新频率"	"Prop Refresh Frequency"	""
"Options.OPTION_DESCRIPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.PropRefreshFrequency]"	"Dies ist die Anzahl der Frames zwischen grafischen Aktualisierungen der Requisiten, die bei Anarchie platziert wurden, um zufällige Keulungen zu verhindern. Höhere Raten werden eine bessere Leistung haben, aber eine längere mögliche Zeit in der die Requisiten fehlen."	"This is the number of frames between graphical refreshes to props placed with Anarchy to prevent accidental culling. Higher numbers will have better performance, but longer possible time that props may be missing."	"Esto es el número de fotogramas entre actualizaciones gráficas para las decoraciones colocadas con ""Anarchy"" para prevenir la eliminación accidental. Números más altos tendrán mejor rendimiento, pero un tiempo posible más largo en el que las decoraciones podrían estar ausentes."	"Il s'agit du nombre d'images entre chaque actualisation graphique des props placées avec Anarchy afin d'éviter toute suppression accidentelle. Des nombres plus élevés équivaudront à de meilleures performances, mais une possible plus longue durée d'absence des props."	"This is the number of frames between graphical refreshes to props placed with Anarchy to prevent accidental culling. Higher numbers will have better performance, but longer possible time that props may be missing."	"This is the number of frames between graphical refreshes to props placed with Anarchy to prevent accidental culling. Higher numbers will have better performance, but longer possible time that props may be missing."	"Anarchy 플러그인으로 배치된 소품의 그래픽 갱신 간격을 프레임 수로 지정한 값입니다. 이 값은 실수로 소품이 삭제되는 것을 방지하기 위한 목적으로 사용됩니다.
값이 높을수록 성능은 향상되지만 소품이 실제로 존재하는데도 화면에 표시되지 않는 시간이 길어질 수 있습니다."	"Ta opcja zmienia liczbę klatek pomiędzy odświeżeniami graficznymi rekwizytów umieszczonych za pomocą Anarchii, aby zapobiec przypadkowemu ukryciu. Im więcej, tym lepsza wydajność, ale powoduje dłuższy czas, w którym może brakować rekwizytów."	"Este é o número de quadros entre atualizações gráficas para props colocadas com Anarquia para evitar a eliminação acidental. Números mais altos terão melhor desempenho, mas um tempo mais longo as props podem estar faltando."	"This is the number of frames between graphical refreshes to props placed with Anarchy to prevent accidental culling. Higher numbers will have better performance, but longer possible time that props may be missing."	"这指定了无政府放置的道具的图形刷新之间的剔除，以防止意外掉帧。数字越高，性能越好，但道具可能丢失的时间长度也会增加。"	"This is the number of frames between graphical refreshes to props placed with Anarchy to prevent accidental culling. Higher numbers will have better performance, but longer possible time that props may be missing."	""
"Options.OPTION[Anarchy.Anarchy.AnarchyMod.AnarchyModSettings.RefreshProps]"	"Requisitenaktualisierung"	"Refresh Props"	"Refrescar decoraciones"	"Actualiser les Props"	"Refresh Props"	"Refresh Props"	"소품 새로 고침"	"Odśwież rekwizyty"	"Atualizar Props"	"Refresh Props"	"手动刷新摆件"	"Refresh Props"	""
